type typecode name_p address province city area lat lng telephone tag
风景名胜;风景名胜;寺庙道观 110205 玉皇庙 [] 河南省 平顶山市 鲁山县 112.721032 33.726846 [] []
风景名胜;风景名胜;寺庙道观 110205 弥陀寺 207国道西150米 河南省 平顶山市 鲁山县 112.819654 33.870894 [] []
风景名胜;风景名胜;寺庙道观 110205 龙王庙 [] 河南省 平顶山市 鲁山县 112.440912 33.731577 [] []
风景名胜;风景名胜;寺庙道观 110205 关帝庙 张店乡宋村 河南省 平顶山市 鲁山县 112.870991 33.754985 [] []
风景名胜;风景名胜;寺庙道观 110205 新柏宁岗 [] 河南省 平顶山市 鲁山县 113.127607 33.609905 [] []
风景名胜;风景名胜;寺庙道观 110205 桃花姑姑庙 [] 河南省 平顶山市 鲁山县 112.924984 33.835209 [] []
风景名胜;风景名胜;寺庙道观 110205 大王庙 [] 河南省 平顶山市 鲁山县 112.883320 33.717674 [] []
风景名胜;风景名胜;寺庙道观 110205 百年关帝庙 311国道 河南省 平顶山市 鲁山县 112.683991 33.719065 15638678508 []
风景名胜;风景名胜;寺庙道观 110205 佛缘 242省道西50米 河南省 平顶山市 鲁山县 112.731554 33.867757 [] []
风景名胜;风景名胜;教堂 110206 福音堂 迎宾大道 河南省 平顶山市 舞钢市 113.667738 33.383398 [] []
风景名胜;公园广场;公园广场 110100 梦园 人民路与中兴路交叉口西200米 河南省 平顶山市 宝丰县 113.074490 33.866448 [] []
风景名胜;风景名胜;风景名胜 110200 石漫滩国际龙舟竞赛基地 文化路1号 河南省 平顶山市 舞钢市 113.526616 33.278510 [] []
风景名胜;公园广场;公园 110101 人民公园 中兴路与人民路交叉口东南200米 河南省 平顶山市 宝丰县 113.078167 33.864808 [] []
风景名胜;风景名胜;风景名胜 110200 娘娘山森林公园 001县道 河南省 平顶山市 汝州市 112.627839 34.334461 [] []
风景名胜;风景名胜;寺庙道观 110205 观音寺 242省道西150米 河南省 平顶山市 鲁山县 112.732001 33.865731 [] []
风景名胜;公园广场;公园 110101 五岳生态公园 241省道附近 河南省 平顶山市 宝丰县 113.048737 33.884329 [] []
风景名胜;风景名胜;风景名胜 110200 石漫滩水库大坝公园 武功乡石漫滩水库 河南省 平顶山市 舞钢市 113.558394 33.281594 [] []
风景名胜;风景名胜;风景名胜 110200 毛仁寺 [] 河南省 平顶山市 叶县 113.405032 33.402807 [] []
风景名胜;公园广场;公园 110101 汝河沙滩公园 [] 河南省 平顶山市 汝州市 112.852022 34.130739 [] []
风景名胜;公园广场;公园 110101 汝州市人文体育公园 宏翔大道西200米 河南省 平顶山市 汝州市 112.861820 34.165314 [] []
风景名胜;风景名胜;回教寺 110207 鲁山清真寺 西穆路与鲁平大道交叉口北800米 河南省 平顶山市 鲁山县 112.895224 33.737233 [] []
风景名胜;风景名胜;回教寺 110207 下汤清真寺 下汤镇中国邮政储蓄银行西北100米 河南省 平顶山市 鲁山县 112.683447 33.719153 [] []
风景名胜;风景名胜;寺庙道观 110205 鲁山县华严寺 上洼村 河南省 平顶山市 鲁山县 112.926182 33.766351 [] []
风景名胜;风景名胜;寺庙道观 110205 凤凰岭山神土地灵霄殿 [] 河南省 平顶山市 鲁山县 112.925223 33.765776 [] []
风景名胜;风景名胜;寺庙道观 110205 明山寺 昭平台库区乡环库线明山寺 河南省 平顶山市 鲁山县 112.780960 33.776907 [] []
风景名胜;风景名胜;寺庙道观 110205 余堂地母庙 余堂地母庙(郑尧高速公路南) 河南省 平顶山市 鲁山县 112.880986 33.754309 [] []
风景名胜;风景名胜;风景名胜 110200 颐顺园 风烟线与024县道交叉口东南50米 河南省 平顶山市 汝州市 112.891080 34.218714 [] []
风景名胜;公园广场;公园 110101 为民游园 人民路259号附近 河南省 平顶山市 宝丰县 113.055806 33.867720 [] []
风景名胜;公园广场;公园 110101 体育公园 迎宾大道与香山路交汇处西南角 河南省 平顶山市 宝丰县 113.087801 33.856635 [] []
风景名胜;公园广场;公园 110101 东湖公园 山河路南 河南省 平顶山市 宝丰县 113.08031 33.853748 [] []
风景名胜;风景名胜;回教寺 110207 清真寺 南环路刘庄回民小学西北450米 河南省 平顶山市 汝州市 112.832307 34.151831 [] []
风景名胜;公园广场;公园 110101 净肠河滨河公园 241省道南50米 河南省 平顶山市 宝丰县 113.062472 33.883250 [] []
风景名胜;风景名胜;教堂 110206 天主堂 王店西村4组 河南省 平顶山市 舞钢市 113.383619 33.184541 [] []
风景名胜;风景名胜;寺庙道观 110205 余堂地母庙 余堂地母庙(郑尧高速公路南) 河南省 平顶山市 鲁山县 112.880986 33.754309 [] []
风景名胜;风景名胜;风景名胜 110200 颐顺园 风烟线与024县道交叉口东南50米 河南省 平顶山市 汝州市 112.891080 34.218714 [] []
风景名胜;公园广场;公园 110101 为民游园 人民路259号附近 河南省 平顶山市 宝丰县 113.055806 33.867720 [] []
风景名胜;公园广场;公园 110101 体育公园 迎宾大道与香山路交汇处西南角 河南省 平顶山市 宝丰县 113.087801 33.856635 [] []
