type typecode name_p address province city area lat lng telephone tag
体育休闲服务;休闲场所;休闲场所 080500 金湖岸农家院 湖滨路西50米 河南省 平顶山市 新华区 113.235713 33.724983 [] []
体育休闲服务;休闲场所;休闲场所 080500 应丰庄园 长安大道南200米 河南省 平顶山市 新华区 113.136587 33.769476 [] []
体育休闲服务;休闲场所;休闲场所 080500 桥东农家院 湖滨路附近 河南省 平顶山市 新华区 113.215241 33.738925 15937557352;15937557362 []
体育休闲服务;休闲场所;休闲场所 080500 河南城建学院教工之家 同心路与学苑南路交叉口东南150米 河南省 平顶山市 新华区 113.184283 33.771717 [] []
体育休闲服务;休闲场所;休闲场所 080500 寒冰私宅 光明路152号院 河南省 平顶山市 新华区 113.292369 33.740685 [] []
体育休闲服务;休闲场所;休闲场所 080500 老年活动中心 金石路与长青路交叉口西南50米 河南省 平顶山市 新华区 113.286969 33.739789 [] []
体育休闲服务;休闲场所;休闲场所 080500 香山镭战营真人CS基地(大香山路店) 大香山路北段杨官营村西北部(十一矿路和大香山路交叉口南) 河南省 平顶山市 新华区 113.187410 33.799120 13343905599;13333900806 []
体育休闲服务;娱乐场所;网吧 080308 星海网吧(神马大道) 北渡镇杨西村 河南省 平顶山市 湛河区 113.342403 33.720418 [] []
体育休闲服务;娱乐场所;KTV 080302 骑士KTV 诚朴路与东风路交叉口路南 河南省 平顶山市 湛河区 113.331625 33.723660 0375-7368111 []
体育休闲服务;娱乐场所;酒吧 080304 冰岛酒吧(中兴路) 中兴路广厦商务中心南侧板桥米线二楼 河南省 平顶山市 新华区 113.306528 33.738056 15136906620 []
体育休闲服务;娱乐场所;KTV 080302 W-SHOW主题量贩式KTV 新华路与湛河南路交叉口西南50米 河南省 平顶山市 湛河区 113.321545 33.726810 0375-2078888 []
体育休闲服务;娱乐场所;KTV 080302 星光大道KTV(旗舰店) 广成路 河南省 平顶山市 汝州市 112.835445 34.175158 0375-6689777 []
体育休闲服务;娱乐场所;KTV 080302 阿里巴巴量贩式KTV(开源路) 建设路与开源路交叉口向北50米路东 河南省 平顶山市 卫东区 113.309463 33.737011 0375-2865555 []
体育休闲服务;娱乐场所;网吧|购物服务;购物相关场所;购物相关场所 080308|060000 新光明网吧(建设路) 建设路与开源路交叉口西南角地下室 河南省 平顶山市 新华区 113.308784 33.736305 18300744553 []
体育休闲服务;影剧院;电影院 080601 中视国际影城(双丰店) 光明路与曙光街交叉口西南角双丰商城4楼 河南省 平顶山市 新华区 113.290822 33.733204 0375-2057777 []
体育休闲服务;娱乐场所;KTV 080302 鹰城之夜(曙光街店) 中兴路与曙光街交叉口西50米路南(曙光街西侧) 河南省 平顶山市 新华区 113.304436 33.732201 0375-7697777 []
