name, lat, lng, address
爱尚·米线, 33.776657, 113.184582, 祥云路与崇文路交叉口北20米
川川家重庆小面(九天店), 33.776657, 113.184582, 祥云路与崇文路交叉口(常绿九天庄园西商业街6号商铺)
苏式·面, 33.778908, 113.194466, 新华区城建学院2餐厅2楼7号
重庆小面, 33.776224, 113.184436, 河南省平顶山市新华区祥云路
清真伊清源美食城, 33.772059, 113.206865, 和谐路与祥云路交叉口南150米
山西大碗面, 33.776224, 113.184436, 河南省平顶山市新华区崇文路
红高粱酒坊, 33.784471, 113.207517, 河南省平顶山市新华区井时线
麦丰饺子(新城区NO.006), 33.766046, 113.204074, 河南省平顶山市新华区公正路东太平翠湖苑小区
李记特色刀削面, 33.776224, 113.184436, 河南省平顶山市新华区祥云路
味乡源武汉热干面, 33.776224, 113.184436, 河南省平顶山市新华区九天庄园6号楼商铺
爱尚米线, 33.776224, 113.184436, 河南省平顶山市新华区崇文路
温州骨里香, 33.775968, 113.184556, 河南省平顶山市新华区祥云路
四川面馆, 33.775201, 113.185164, 管委会祥云路与崇文路交叉路口向东一百米
山西刀拨面, 33.766951, 113.203053, 河南省平顶山市新华区清风路
王福记豆腐菜, 33.765952, 113.204317, 河南省平顶山市新华区公正路0375首府
鱼霸炭火铁板烧, 33.766768, 113.203046, 水库路东段温馨宾馆往西30米路南
山西大碗面, 33.765952, 113.204317, 东太平翠湖苑小区南门西150米路北
李府百岁鸡百岁鱼, 33.766637, 113.207211, 新城区未来路师专学院北门1号楼商铺
张记炝锅烩面面条, 33.7856, 113.175221, 河南省平顶山市新华区平宝大道常绿·林溪美地旁
福多多热干面, 33.782712, 113.197669, 河南省平顶山市新华区学府路小学附近(河南城建学院西校区北)
爱之LOVE烘焙杰希的厨房, 33.773313, 113.187377, 河南省平顶山市新华区祥云路西段建设银行东10米
光辉羊肉饸饹面, 33.788811, 113.186431, 河南省平顶山市新华区平宝大道伟太公司公交站
粉之源土豆粉店, 33.773346, 113.187383, 河南省平顶山市新华区祥云路平顶山市新城区管委会西200米
千禧西点, 33.782723, 113.197808, 香山管委会龙翔大道城建学院北门
三妮早餐, 33.782723, 113.197808, 龙翔大道爱码购一条街商铺4-S9号
乳源鲜奶吧(广发店), 33.767041, 113.207417, 公正路广发银行南100米路东(东太平小区对面,翠林蓝湾D区西门)
2015个性DIY蛋糕生活馆, 33.766303, 113.206667, 翠湖苑小区东门南20米路西
砂锅土豆粉, 33.788439, 113.186454, 河南省平顶山市新华区新城小区(崇文路东)
name, lat, lng, address
艾力克(城建学院店), 33.780181, 113.188579, 河南城建学院第二学生餐厅1楼
味道重庆老火锅(卫校店), 33.77877, 113.185487, 崇文路中段平顶山学院医学院南100米路东二楼
小四川新城区分店, 33.774979, 113.185325, 河南省平顶山市新华区祥云路
红伟宴宾楼, 33.783065, 113.188644, 平顶山市新华区常绿大悦城南门西10米
爱上披萨, 33.774327, 113.1861, 新华区新城区崇文路口德信泉超市北20米
豪大大鸡排, 33.779391, 113.186577, 城建学院西门与医学院正门交叉口
麦加美汉堡(新城餐厅), 33.779185, 113.185612, 新城区崇文路平顶山学院斜对面
小雨快餐(黄焖鸡重庆小面), 33.775043, 113.185282, 祥云路九天庄园南门祥云路西行50米路东
赛伟百味人家九鼎店, 33.779194, 113.186296, 崇文路锦园西饼旁
贝克汉堡, 33.773112, 113.192621, 湖光路湖光明珠(东门)附近
七杯茶, 33.780883, 113.188933, 河南城建学院二号服务楼1楼院内
江南人家(大香山路店), 33.771345, 113.194834, 宏图路与大香山路交叉口西47米路北
宝丰庆伟砂锅面, 33.785921, 113.187047, 平宝大到与崇文路交叉口东南100米路北
滚烫食尚火锅, 33.778616, 113.185421, 祥云路与崇文路交叉口向北100米路东(城建学院西门向西100米)
鼎鼎羊自动回转小火锅, 33.783107, 113.187949, 新华区新城区龙翔大道常绿大悦城西段(城建学院北门)
河南城建学院-第二学生餐厅, 33.780176, 113.188637, 同心路与女贞路交叉口西100米
